The calculation of time series is done!
Total route number:  24
Sparsity of adj:  0.041666666666666664
The weighted matrix of temporal graph is generated!
The shape of localized adjacency matrix: (96, 96)
begin training
| end of epoch 119 | time: 10.70s | train_loss 136.9262 | valid mse 12.2603
| end of epoch 120 | time: 10.89s | train_loss 159.9805 | valid mse 10.2632
| end of epoch 121 | time: 10.99s | train_loss 136.1833 | valid mse 11.1208
| end of epoch 122 | time: 11.02s | train_loss 142.2248 | valid mse 10.1359
| end of epoch 123 | time: 10.94s | train_loss 161.8001 | valid mse 11.0358
| end of epoch 124 | time: 10.78s | train_loss 135.2706 | valid mse 11.2445
| end of epoch 125 | time: 11.28s | train_loss 129.0317 | valid mse 10.2975
| end of epoch 126 | time: 11.58s | train_loss 126.1445 | valid mse 9.8775
| end of epoch 127 | time: 11.45s | train_loss 115.7267 | valid mse 9.1361
| end of epoch 128 | time: 10.68s | train_loss 130.6668 | valid mse 13.0472
| end of epoch 129 | time: 10.41s | train_loss 105.6971 | valid mse 13.0875
| end of epoch 130 | time: 10.68s | train_loss 108.7127 | valid mse 9.8042
| end of epoch 131 | time: 10.72s | train_loss 102.6287 | valid mse 8.4058
| end of epoch 132 | time: 10.86s | train_loss 110.7184 | valid mse 9.3881
| end of epoch 133 | time: 10.31s | train_loss 101.5106 | valid mse 8.5006
| end of epoch 134 | time: 10.32s | train_loss 118.7273 | valid mse 9.6544
| end of epoch 135 | time: 10.66s | train_loss 114.3862 | valid mse 9.6922
| end of epoch 136 | time: 11.00s | train_loss 101.7655 | valid mse 8.6580
| end of epoch 137 | time: 11.25s | train_loss 101.7807 | valid mse 10.5887
| end of epoch 138 | time: 11.24s | train_loss 93.4015 | valid mse 8.5935
| end of epoch 139 | time: 10.81s | train_loss 97.2011 | valid mse 8.3036
| end of epoch 140 | time: 10.90s | train_loss 90.8843 | valid mse 9.1585
| end of epoch 141 | time: 10.71s | train_loss 119.3712 | valid mse 9.2682
| end of epoch 142 | time: 11.18s | train_loss 111.4708 | valid mse 8.8488
| end of epoch 143 | time: 10.81s | train_loss 96.5742 | valid mse 8.2128
| end of epoch 144 | time: 10.94s | train_loss 89.5057 | valid mse 8.1665
| end of epoch 145 | time: 10.76s | train_loss 85.2985 | valid mse 8.4985
| end of epoch 146 | time: 10.93s | train_loss 81.4471 | valid mse 7.3302
| end of epoch 147 | time: 11.55s | train_loss 93.9684 | valid mse 8.7310
| end of epoch 148 | time: 11.89s | train_loss 86.3142 | valid mse 9.0571
| end of epoch 149 | time: 11.65s | train_loss 99.6144 | valid mse 8.7682
| end of epoch 150 | time: 11.64s | train_loss 88.4559 | valid mse 7.6690
| end of epoch 151 | time: 11.13s | train_loss 90.3191 | valid mse 12.0190
| end of epoch 152 | time: 10.47s | train_loss 84.6672 | valid mse 8.4007
| end of epoch 153 | time: 10.41s | train_loss 87.2663 | valid mse 8.6086
| end of epoch 154 | time: 10.30s | train_loss 83.5548 | valid mse 7.9862
| end of epoch 155 | time: 10.32s | train_loss 106.9770 | valid mse 8.2069
| end of epoch 156 | time: 10.61s | train_loss 91.6069 | valid mse 7.4248
| end of epoch 157 | time: 10.09s | train_loss 90.5547 | valid mse 7.1123
| end of epoch 158 | time: 11.53s | train_loss 88.0084 | valid mse 7.6013
| end of epoch 159 | time: 11.50s | train_loss 89.3364 | valid mse 7.9330
| end of epoch 160 | time: 11.36s | train_loss 90.5944 | valid mse 8.8142
| end of epoch 161 | time: 10.57s | train_loss 87.5612 | valid mse 8.6184
| end of epoch 162 | time: 10.65s | train_loss 88.1002 | valid mse 7.9006
| end of epoch 163 | time: 10.69s | train_loss 92.4939 | valid mse 7.4804
| end of epoch 164 | time: 10.75s | train_loss 81.5328 | valid mse 7.2398
| end of epoch 165 | time: 10.52s | train_loss 86.3843 | valid mse 6.9698
| end of epoch 166 | time: 10.50s | train_loss 80.2538 | valid mse 6.9057
| end of epoch 167 | time: 10.60s | train_loss 74.0777 | valid mse 7.0908
| end of epoch 168 | time: 11.46s | train_loss 80.5924 | valid mse 6.9866
| end of epoch 169 | time: 11.85s | train_loss 75.8010 | valid mse 6.8190
| end of epoch 170 | time: 11.56s | train_loss 74.5308 | valid mse 7.1531
| end of epoch 171 | time: 11.40s | train_loss 79.1310 | valid mse 6.8378
| end of epoch 172 | time: 10.06s | train_loss 79.4451 | valid mse 6.7442
| end of epoch 173 | time: 10.24s | train_loss 79.2707 | valid mse 6.7261
| end of epoch 174 | time: 10.51s | train_loss 71.6677 | valid mse 6.6793
| end of epoch 175 | time: 10.42s | train_loss 80.8199 | valid mse 6.7231
| end of epoch 176 | time: 10.61s | train_loss 77.2770 | valid mse 6.8216
| end of epoch 177 | time: 10.47s | train_loss 78.6705 | valid mse 6.6739
| end of epoch 178 | time: 10.09s | train_loss 72.0939 | valid mse 6.5972
| end of epoch 179 | time: 10.17s | train_loss 71.5530 | valid mse 7.2564
| end of epoch 180 | time: 11.25s | train_loss 72.7252 | valid mse 6.8941
| end of epoch 181 | time: 11.31s | train_loss 68.7436 | valid mse 9.0839
| end of epoch 182 | time: 11.35s | train_loss 79.8233 | valid mse 6.6544
| end of epoch 183 | time: 10.95s | train_loss 83.0889 | valid mse 6.9553
| end of epoch 184 | time: 11.26s | train_loss 74.3938 | valid mse 6.6749
| end of epoch 185 | time: 10.82s | train_loss 70.3801 | valid mse 6.8818
| end of epoch 186 | time: 10.51s | train_loss 72.5341 | valid mse 6.5197
| end of epoch 187 | time: 11.01s | train_loss 71.8426 | valid mse 7.3643
| end of epoch 188 | time: 10.47s | train_loss 78.9921 | valid mse 6.7015
| end of epoch 189 | time: 11.12s | train_loss 74.2230 | valid mse 6.8476
| end of epoch 190 | time: 11.00s | train_loss 69.9726 | valid mse 6.9046
| end of epoch 191 | time: 11.91s | train_loss 70.6257 | valid mse 6.2203
| end of epoch 192 | time: 11.43s | train_loss 70.2143 | valid mse 6.2691
| end of epoch 193 | time: 11.73s | train_loss 70.4723 | valid mse 7.5516
| end of epoch 194 | time: 10.34s | train_loss 73.0044 | valid mse 7.4549
| end of epoch 195 | time: 10.56s | train_loss 82.5245 | valid mse 9.4914
| end of epoch 196 | time: 10.00s | train_loss 73.6985 | valid mse 11.7006
| end of epoch 197 | time: 10.69s | train_loss 70.5449 | valid mse 6.7564
| end of epoch 198 | time: 10.45s | train_loss 71.9229 | valid mse 6.9604
| end of epoch 199 | time: 10.36s | train_loss 70.9038 | valid mse 6.9778
| end of epoch 200 | time: 10.31s | train_loss 70.5885 | valid mse 6.8122
| end of epoch 201 | time:  9.99s | train_loss 71.2196 | valid mse 7.3038
| end of epoch 202 | time: 10.78s | train_loss 69.9495 | valid mse 6.9935
| end of epoch 203 | time: 11.36s | train_loss 68.7392 | valid mse 6.1905
| end of epoch 204 | time: 11.32s | train_loss 71.4460 | valid mse 6.7716
| end of epoch 205 | time: 10.76s | train_loss 71.5009 | valid mse 6.3281
| end of epoch 206 | time: 10.75s | train_loss 68.7681 | valid mse 6.1137
| end of epoch 207 | time: 10.88s | train_loss 69.8861 | valid mse 6.6203
| end of epoch 208 | time: 10.69s | train_loss 69.5169 | valid mse 6.3468
| end of epoch 209 | time: 10.96s | train_loss 69.0243 | valid mse 9.0536
| end of epoch 210 | time: 10.89s | train_loss 70.7463 | valid mse 7.1331
| end of epoch 211 | time: 10.64s | train_loss 71.7360 | valid mse 6.4692
| end of epoch 212 | time: 10.87s | train_loss 68.6755 | valid mse 6.3930
| end of epoch 213 | time: 11.45s | train_loss 69.4309 | valid mse 6.5404
| end of epoch 214 | time: 11.45s | train_loss 65.9243 | valid mse 6.0130
| end of epoch 215 | time: 11.60s | train_loss 66.7139 | valid mse 6.1792
| end of epoch 216 | time: 10.32s | train_loss 67.4590 | valid mse 6.4112
| end of epoch 217 | time:  9.93s | train_loss 69.2121 | valid mse 6.2857
| end of epoch 218 | time: 10.01s | train_loss 68.4123 | valid mse 6.1818
| end of epoch 219 | time: 10.37s | train_loss 67.0076 | valid mse 6.0297
| end of epoch 220 | time: 10.28s | train_loss 67.7689 | valid mse 6.3187
| end of epoch 221 | time: 10.43s | train_loss 68.0844 | valid mse 5.9497
| end of epoch 222 | time:  9.93s | train_loss 67.2607 | valid mse 5.9583
| end of epoch 223 | time:  9.90s | train_loss 67.5634 | valid mse 6.8775
| end of epoch 224 | time: 10.12s | train_loss 69.9866 | valid mse 6.1919
